1: Cell Index,2: Num Nuclei,1: Cell Length,2: Nuc Area,1: Cell Area,2/2: Mean Nuc Int,1: Cell Width,2: Whole Cell Int,2: Background Int,2/2: BkgdSubt Nuc Int,2: BkgdSubt WC Int
1,1,10.7787242021908,15.2551108609397,30.0151501995998,0,3.71654912818751,271.32527809743,275,-275,-3.67472190257001
2,1,13.6464925625866,3.68425318905713,37.4181964513614,507.984375,3.6653461958263,302.032923076923,275,232.984375,27.0329230769231
3,1,16.7430904289482,5.06584813495355,43.2899749714212,542.434090909091,3.47807500149433,330.415957446809,275,267.434090909091,55.4159574468085
4,1,16.4948759588944,4.40959053565275,42.2998319268621,565.791122715405,3.39805756570561,329.810560696788,275,290.791122715405,54.8105606967882
5,1,13.53339925409,4.07570509039445,34.4362540264683,526.056497175141,3.36563292155299,314.691741892344,275,251.056497175141,39.6917418923437
6,1,12.2168409589478,3.75333293635195,30.5332483043109,352.58282208589,3.26851555720879,290.584841628959,275,77.5828220858896,15.5848416289593
7,2,19.2694215702857,4.45564370051596,51.5910579380156,452.40826873385,3.55079358410962,370.791787547422,275,177.40826873385,95.7917875474225
8,1,16.5043072887346,5.33065383291703,42.1846990147041,684.332613390929,3.37777519874773,374.055676855895,275,409.332613390929,99.0556768558952
9,1,13.1071211170703,4.19083800255248,34.3786875703893,454.019230769231,3.46893628287174,298.688211654387,275,179.019230769231,23.6882116543871
10,2,18.8847723506683,3.82241268364677,52.270342119748,459.743975903614,3.7133987774493,322.001101321586,275,184.743975903614,47.0011013215859
11,1,12.3178156642912,17.2584235324895,33.0546590805719,0,3.60360855633557,265.486241727621,275,-275,-9.51375827237894
12,1,16.3387645227543,4.52472344781078,43.2093819329106,523.295165394402,3.51389311243439,311.798561151079,275,248.295165394402,36.7985611510791
13,1,13.720659829871,4.39807724443695,35.5185034007539,478.246073298429,3.40842649066128,304.718638573744,275,203.246073298429,29.7186385737439
14,1,14.3582216347829,4.5938031951056,35.7142293514225,521.734335839599,3.31970615059764,331.352998065764,275,246.734335839599,56.352998065764
15,1,13.1063747391439,4.13327154647346,36.4510799892339,527.306406685237,3.63156157191782,331.711307643714,275,252.306406685237,56.7113076437145
16,1,15.6267814922813,5.14644117346417,40.8031040688077,396.149888143177,3.53319432792977,318.462189616253,275,121.149888143177,43.4621896162528
17,1,22.1458654499073,36.4856198628814,61.2046561032115,0,3.67537717154199,347.48532731377,275,-275,72.4853273137697
18,1,9.87456503520291,17.7189551811216,27.2980134726701,0,3.63069721702513,300.923660902573,275,-275,25.9236609025727
19,1,20.1367169282015,34.8737590926689,56.2424275892002,0,3.76380919192616,372.726305015353,275,-275,97.7263050153531
20,1,10.8246047600652,5.94085826735462,27.3901198023966,0,3.39799602282657,304.362337116435,275,-275,29.3623371164355
21,1,20.1981970495524,36.7734521432764,57.9694212715707,0,3.71596605509041,315.849056603774,275,-275,40.8490566037736
22,1,10.2339737481197,16.2567671967146,26.5496495436429,0,3.42996941205773,297.20685169124,275,-275,22.2068516912402
23,1,16.8001818947148,4.50169686537918,43.888666114643,539.920716112532,3.47839840590117,309.768363064008,275,264.920716112532,34.7683630640084
24,1,11.3642177762614,6.57408928422381,29.3819191827306,0,3.43122080740027,315.376567398119,275,-275,40.3765673981191
25,2,24.7311195057132,4.84709560185328,65.6257599300801,684.187648456057,3.57325622232171,404.189824561403,275,409.187648456057,129.189824561403
26,1,18.3445777002411,5.48032661872248,51.2571724927573,453.888655462185,3.79841591514774,299.427448337826,275,178.888655462185,24.4274483378257
27,1,13.2131336667804,4.20235129376829,36.9461515115135,467.975342465753,3.66188219123337,305.830788407604,275,192.975342465753,30.8307884076036
28,2,20.7207836444756,3.23523483164079,55.8970288527261,502.14590747331,3.71465674911455,379.466735324408,275,227.14590747331,104.466735324408
29,1,12.4845519410924,15.1975444048606,32.7438002177452,0,3.55427316362864,282.435654008439,275,-275,7.4356540084388
30,1,10.2714734902577,3.74181964513614,27.9772976544026,367.110769230769,3.58238475654833,286.59012345679,275,92.1107692307692,11.5901234567901
31,1,12.1189181673932,20.8966235566834,31.6154976785965,0,3.47194108738328,328.314275309541,275,-275,53.3142753095411
32,1,21.2933119684339,6.62014244908702,58.8214048215402,580.975652173913,3.68047384562258,381.691720493247,275,305.975652173913,106.691720493247
33,1,10.8945928235212,4.98525509644292,29.6812647543415,341.674364896074,3.56780167108737,285.16330488751,275,66.6743648960739,10.1633048875097
34,1,13.666989417173,4.30597091471052,36.3589736595075,423.57486631016,3.48887394106424,308.359721342622,275,148.57486631016,33.3597213426219
35,1,13.4428343160935,4.2484044586315,36.4856198628814,480.227642276423,3.59997694391915,313.668034080151,275,205.227642276423,38.6680340801515
36,1,11.5311469915103,3.56912027689909,29.6927780455573,385.861290322581,3.40198367167414,283.917797595967,275,110.861290322581,8.91779759596744
37,1,11.4282565102607,10.0856431050439,29.6582381719099,0,3.47472065479437,271.290372670807,275,-275,-3.70962732919253
38,2,20.5814485738563,5.83723864641239,55.079585176404,403.751479289941,3.55830370861965,330.716764214047,275,128.751479289941,55.7167642140468
39,1,16.2474182938621,4.32899749714212,44.1304452301749,477.757978723404,3.6925962070953,322.125489172972,275,202.757978723404,47.1254891729716
40,1,17.0893756217117,5.03130826130614,44.6600566261019,594.983981693364,3.65045174100357,333.806651198763,275,319.983981693364,58.8066511987626
41,1,16.711683487409,4.67439623361623,45.3163142254027,544.738916256158,3.65549321459084,317.955792682927,275,269.738916256158,42.9557926829268
42,1,20.6358991407032,40.0086869749172,58.2342269695342,0,3.74025147972844,294.808422301305,275,-275,19.8084223013049
43,1,9.47471832578122,17.7189551811216,26.8144552416064,0,3.75174960619488,292.969514813225,275,-275,17.9695148132246
44,1,19.7473636287888,6.82738169097149,52.327908575827,562.401349072513,3.54729060510126,354.035643564356,275,287.401349072513,79.0356435643565
45,1,11.9481620540373,20.1943127925194,30.1072565293262,0,3.3082500343674,284.569024856597,275,-275,9.56902485659657
46,1,15.5882674996564,4.2484044586315,39.1567034249478,543.216802168022,3.39238649992617,319.74595707145,275,268.216802168022,44.7459570714496
47,1,12.2511235646431,4.69742281604784,33.7454565535201,368.683823529412,3.59699212148218,306.782326850904,275,93.6838235294118,31.7823268509042
48,1,14.3320800774771,27.6318989179284,41.7356806572878,0,3.83100293013278,278.606068965517,275,-275,3.60606896551724
49,1,14.1873454260996,4.68590952483203,37.0843110061031,535.272727272727,3.38410128265112,331.196522819,275,260.272727272727,56.1965228190003
50,1,12.2952699166608,4.19083800255248,33.6418369325779,363.848901098901,3.61070527451613,279.420260095825,275,88.8489010989011,4.4202600958248
51,2,18.9226259971655,4.05267850796284,50.3706490691404,479.3125,3.60011948291083,348.793142857143,275,204.3125,73.7931428571429
52,1,17.9075346204744,6.06750447072846,48.0679908259797,565.324478178368,3.55498606573399,360.94371257485,275,290.324478178368,85.9437125748503
53,1,16.2455637500604,5.05433484373775,44.1649851038223,550.480637813212,3.61019434501524,320.928050052138,275,275.480637813212,45.9280500521376
54,1,21.0215449872909,36.7273989784132,57.6931022823914,0,3.64723305088878,305.380163639992,275,-275,30.380163639992
55,1,9.27634188898936,3.2697747052882,23.8440261079291,403.711267605634,3.39637320422533,321.620956059874,275,128.711267605634,46.6209560598745
56,1,12.6381319929592,3.83392597486257,33.4345976906934,494.771771771772,3.50732079031736,348.174586776859,275,219.771771771772,73.1745867768595
57,1,12.9586025199559,4.29445762349471,34.3326344055261,409.445040214477,3.50158000504536,302.415492957746,275,134.445040214477,27.4154929577465
58,1,16.9649659472933,4.75498927212685,43.3360281362845,586.760290556901,3.40421244442742,342.056854410202,275,311.760290556901,67.0568544102019
59,1,12.1063485833655,4.00662534309963,29.9115305786575,394.097701149425,3.28830197276833,320.798691301001,275,119.097701149425,45.7986913010008
60,1,18.7069108715571,5.36519370656444,47.9183180401743,708.049356223176,3.48186080055905,367.331331090822,275,433.049356223176,92.3313310908217
61,1,13.0413458308342,3.69576648027293,36.2668673297811,514.878504672897,3.65560267641475,318.66126984127,275,239.878504672897,43.6612698412698
62,1,20.4050394446137,6.25171713018131,55.2062313797779,756.421731123389,3.55505032010514,383.657142857143,275,481.421731123389,108.657142857143
63,1,11.8469068015512,4.68590952483203,30.2569293151317,366.356265356265,3.54271057787718,300.075722983257,275,91.3562653562653,25.0757229832572
64,1,12.8421834112417,4.9161753491481,32.9164995859823,320.985948477752,3.37351054150177,269.2913606156,275,45.9859484777518,-5.70863938440016
