1: Cell Index,2: Num Nuclei,1: Cell Length,2: Nuc Area,1: Cell Area,2/2: Mean Nuc Int,1: Cell Width,2: Whole Cell Int,2: Background Int,2/2: BkgdSubt Nuc Int,2: BkgdSubt WC Int
1,2,2558757.08816178,396773400000,1683222440000,0,877306.977754964,87.002299731698,94,-94,-6.99770026830203
2,1,3234121.59642489,1250320080000,2093544200000,0,866420.152426612,88.2126348228043,94,-94,-5.78736517719568
3,2,3963196.91673619,544515040000,2403866160000,0,807460.659249912,88.4949006977993,94,-94,-5.50509930220075
4,2,3892321.27553275,297418760000,2361930760000,101.652928416486,801277.695504102,94.5935536738596,94,7.65292841648591,0.593553673859603
5,2,3200126.41848851,797417760000,1919996160000,0,794682.584793769,85.7674731182796,94,-94,-8.23252688172043
6,2,3350278.15956553,149677120000,1868383360000,104.012931034483,759586.03495473,92.523135359116,94,10.0129310344828,-1.47686464088397
7,2,4561524.71623685,174838360000,2887091000000,98.3431734317343,838957.640131235,91.5188826815642,94,4.34317343173431,-2.48111731843575
8,2,3909872.57806381,645160000000,2361930760000,0,798847.917425363,90.5566785031412,94,-94,-3.44332149685879
9,1,3097854.70254209,889675640000,1920641320000,0,819864.406587192,87.2028888142425,94,-94,-6.79711118575747
10,2,4461095.51687314,401934680000,2927090920000,94.1284109149278,879279.330307612,86.2702226140621,94,0.12841091492777,-7.72977738593785
11,2,2908939.45220578,661289000000,1843222120000,0,848161.725003771,87.7140357017851,94,-94,-6.28596429821491
12,2,3866506.14527184,199999600000,2411608080000,96.3387096774194,829100.467025997,90.6144997324773,94,2.33870967741936,-3.38550026752274
13,1,3244077.34559086,1301287720000,1986447640000,0,805518.361317583,86.5131536213056,94,-94,-7.48684637869438
14,1,3401495.40094197,1229674960000,1993544400000,0,783141.605258302,89.1271844660194,94,-94,-4.87281553398059
15,1,3105418.96941271,1014836680000,2041931400000,0,859162.804714864,88.1292259083728,94,-94,-5.87077409162717
16,3,3687947.51585633,262580120000,2275479320000,97.5208845208845,835466.715771304,91.718457612702,94,3.52088452088452,-2.28154238729799
17,2,5240432.87673702,1674835360000,3421283480000,0,867248.55638088,91.2161040920234,94,-94,-2.78389590797661
18,1,2329589.9968054,609031040000,1517416320000,0,856509.798191586,88.6454081632653,94,-94,-5.3545918367347
19,2,4766196.6646488,910965920000,3151606600000,0,891538.866264501,92.1463664278403,94,-94,-1.85363357215967
20,1,2584475.61526597,1059997880000,1598061320000,0,806199.33818121,88.237383932176,94,-94,-5.76261606782398
21,2,4779526.1624023,180644800000,3245799960000,92.6071428571429,879087.462328152,88.042735042735,94,-1.39285714285714,-5.95726495726495
22,1,2423681.44223671,816127400000,1483222840000,0,810595.285849481,86.3179643323184,94,-94,-7.6820356676816
23,1,3964097.38863084,1407739120000,2448382200000,0,822086.607425389,91.5017127799736,94,-94,-2.49828722002636
24,1,2691986.23065749,1009030240000,1642577360000,0,810451.325352708,88.1995286724273,94,-94,-5.80047132757267
25,1,5849023.41346243,2092899040000,3676121680000,0,847366.041479474,91.1047736047736,94,-94,-2.8952263952264
26,1,4336248.42255231,1936770320000,2861284600000,0,898235.321049812,90.1555806087937,94,-94,-3.84441939120632
27,2,3129406.9583641,514837680000,2068382960000,0,864450.19841319,92.158452900811,94,-94,-1.84154709918901
28,1,2953761.30801871,947740040000,1831609240000,0,841895.936928319,92.1468827051779,94,-94,-1.85311729482213
29,3,4904021.67229743,142580360000,3121284080000,95.7330316742081,873285.612253275,90.4801570897065,94,1.73303167420815,-3.51984291029351
30,2,2433532.04354418,213547960000,1561287200000,98.2719033232628,844949.991980087,86.5318181818182,94,4.27190332326283,-7.46818181818182
31,1,2868286.13596,555482760000,1772254520000,0,822550.996530011,86.4190025482344,94,-94,-7.58099745176557
32,3,5033440.6445307,431612040000,3285799880000,97.0732436472347,868632.972301255,89.9037895150206,94,3.07324364723468,-4.09621048497938
33,1,2584031.02182316,881933720000,1663867640000,0,844243.051171136,89.7661884451338,94,-94,-4.23381155486622
